media_name,total_questions,counter_count,aligned_count,neutral_count,avg_question_length,counter_ratio,aligned_ratio,neutral_ratio,issue_entropy,taiwan_issue_ratio,avg_aligned_score,avg_counter_score,avg_neutral_score,EI_1_外国政府涉台立法,EI_2_外国政要涉台表态或访问,EI_3_国际组织涉台表述,EI_5_外媒涉台报道争议,MS_1_外国军舰军机穿越台海,MS_2_对台军售或军事援助,media_total_questions,media_taihai_questions,taiwan_question_ratio,stance_label
《中国日报》,6,0,4,2,83.66666666666667,0,0.6666666666666666,0.3333333333333333,0.45056120886630463,0.16666666666666666,0.62066454,0.54134893,0.41899326,0,0.5,0,0.5,0,0,312,7,0.022435897435897436,Aligned
《人民日报》,1,0,1,0,212,0,1,0,0,0,0.4495033,0.39100587,0.5797454,0,0,0,1,0,0,93,1,0.010752688172043012,Aligned
《北京青年报》,3,0,2,1,84,0,0.6666666666666666,0.3333333333333333,0.6365141682948128,0.6666666666666666,0.58927405,0.5287563,0.44098482,0,0.3333333333333333,0.6666666666666666,0,0,0,191,4,0.020942408376963352,Aligned
《南华早报》,4,0,4,0,119,0,1,0,0,0,0.5950344,0.50822675,0.44836938,0,0.25,0,0.25,0,0.5,21,4,0.19047619047619047,Aligned
《澎湃新闻》,3,0,2,1,84.66666666666667,0,0.6666666666666666,0.3333333333333333,0.6365141682948128,0.3333333333333333,0.5755125,0.48349762,0.4704949,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,235,3,0.01276595744680851,Aligned
《澳大利亚人报》,1,0,1,0,111,0,1,0,0,1,0.6073719,0.47201392,0.46030706,0,0,1,0,0,0,5,1,0.2,Aligned
《环球时报》,3,0,3,0,107,0,1,0,0,0,0.6202874,0.51568073,0.43201593,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,324,5,0.015432098765432098,Aligned
《纽约时报》,1,0,1,0,42,0,1,0,0,0,0.70497775,0.46070093,0.41716063,0,0,0,1,0,0,40,1,0.025,Aligned
中国国际电视台（CGTN）,1,0,1,0,117,0,1,0,0,0,0.68547153,0.5408541,0.38683718,0,0,0,0,0,1,168,1,0.005952380952380952,Aligned
中央广播电视总台,4,0,4,0,82.25,0,1,0,0,0,0.6442945,0.53070414,0.41250068,0,0.5,0,0.5,0,0,792,6,0.007575757575757576,Aligned
中新社,3,0,1,2,92.33333333333333,0,0.3333333333333333,0.6666666666666666,0.6365141682948128,0.6666666666666666,0.5734524,0.53122455,0.44766152,0,1,0,0,0,0,327,5,0.01529051987767584,Aligned
俄新社,2,0,1,1,35.5,0,0.5,0.5,0,0,0.66930604,0.59005535,0.3703193,0,0.5,0,0.5,0,0,126,2,0.015873015873015872,Aligned
俄通塔斯社,3,0,2,1,101,0,0.6666666666666666,0.3333333333333333,0,0,0.60894305,0.4959565,0.4475502,0,0.3333333333333333,0,0.6666666666666666,0,0,192,3,0.015625,Aligned
印度报业托拉斯社,1,0,1,0,103,0,1,0,0,0,0.51663923,0.4440316,0.5196646,0,0,0,0,1,0,114,1,0.008771929824561403,Aligned
国际广播电台,10,0,8,2,93.5,0,0.8,0.2,0,0,0.62538296,0.5211681,0.4267245,0,0.6,0.1,0.2,0,0.1,177,11,0.062146892655367235,Aligned
彭博社,15,0,8,7,83.53333333333333,0,0.5333333333333333,0.4666666666666667,0.24493002679463532,0.06666666666666667,0.57947415,0.52413005,0.4481979,0.06666666666666667,0.4666666666666667,0.2,0.26666666666666666,0,0,1021,19,0.01860920666013712,Aligned
总台华语环球节目中心,1,0,1,0,90,0,1,0,0,0,0.5444235,0.47418782,0.49069434,0,0,0,1,0,0,129,1,0.007751937984496124,Aligned
总台央视,4,0,3,1,96.25,0,0.75,0.25,0.5623351446188083,0.25,0.546188,0.48499578,0.48440814,0,0,0.5,0.25,0,0.25,152,4,0.02631578947368421,Aligned
新华社,3,0,1,2,90,0,0.3333333333333333,0.6666666666666666,0.6365141682948128,0.3333333333333333,0.5220316,0.50223005,0.48786917,0,0.6666666666666666,0,0.3333333333333333,0,0,321,3,0.009345794392523364,Aligned
日本东京电视台,1,0,1,0,37,0,1,0,0,0,0.6784719,0.57724726,0.3721404,0,1,0,0,0,0,12,1,0.08333333333333333,Aligned
日本共同社,2,0,2,0,57.5,0,1,0,0,0,0.62063444,0.52290237,0.4282316,0,0.5,0.5,0,0,0,210,2,0.009523809523809525,Aligned
日本广播协会（NHK）,5,0,4,1,44,0,0.8,0.2,0,0,0.6213662,0.5386417,0.41999608,0,0.8,0,0.2,0,0,163,5,0.03067484662576687,Aligned
法新社,7,1,4,2,76.14285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.410116318288409,0.14285714285714285,0.60688657,0.5332868,0.42991328,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0.2857142857142857,1378,9,0.006531204644412192,Aligned
深圳卫视,5,0,3,2,158.6,0,0.6,0.4,0.9502705392332347,0.4,0.54133713,0.45057005,0.5040464,0,0.4,0.2,0.4,0,0,325,8,0.024615384615384615,Aligned
湖北广播电视台,2,0,2,0,77.5,0,1,0,0,0,0.594715,0.49279684,0.45624405,0,1,0,0,0,0,187,3,0.016042780748663103,Aligned
澳亚卫视,7,0,4,3,86.14285714285714,0,0.5714285714285714,0.42857142857142855,0,0,0.6118466,0.54255664,0.42279837,0,0.42857142857142855,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,103,9,0.08737864077669903,Aligned
澳大利亚人报,1,0,1,0,123,0,1,0,0,1,0.6306206,0.57344,0.39796972,0,0,1,0,0,0,3,1,0.3333333333333333,Aligned
环球邮报,1,0,1,0,41,0,1,0,0,1,0.6056553,0.5261698,0.43408746,0,1,0,0,0,0,4,1,0.25,Aligned
路透社,12,0,7,5,62.666666666666664,0,0.5833333333333334,0.4166666666666667,0.45056120886630463,0.16666666666666666,0.61072254,0.5507422,0.41926762,0,0.5833333333333334,0,0.08333333333333333,0.16666666666666666,0.16666666666666666,1201,14,0.011656952539550375,Aligned
香港中评社,5,0,4,1,100.4,0,0.8,0.2,0.5004024235381879,0.2,0.6132608,0.5594212,0.413659,0,0.6,0,0.2,0,0.2,89,5,0.056179775280898875,Aligned
香港电台,2,0,1,1,77,0,0.5,0.5,0,0,0.60240114,0.5023509,0.44762397,0,1,0,0,0,0,30,3,0.1,Aligned
